Country/Region,SKU,SKU Description,Volume Production,Date
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,3.12,2021-08-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,3.51036,2022-07-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,3.54,2021-02-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,4.09,2021-09-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,4.24,2021-01-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,4.29,2021-03-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,5.3424,2022-01-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,6.388199999999999,2022-03-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,7.393680000000001,2022-06-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,7.44912,2022-09-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,7.6280399999999995,2022-08-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,8.47,2021-11-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2021-01-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2021-02-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2021-03-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2021-05-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2021-06-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2021-07-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2021-09-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2021-10-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2022-01-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2022-02-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0,2022-07-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0.54768,2022-05-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,0.59976,2022-06-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,1.59,2021-11-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,1.61,2021-04-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,1.66,2021-12-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,1.7,2021-08-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,2.5502399999999996,2022-08-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,3.19872,2022-09-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,3.6708000000000003,2022-04-01 00:00:00
Belgium,1510133,FRISK XL STRAWBERRY VIT C TIN 12X4 BE,4.074,2022-03-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,0,2021-02-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,0,2021-05-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,0,2021-06-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,0,2021-09-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,0,2022-07-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,0,2022-09-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,0.6316799999999999,2022-02-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,0.87024,2022-03-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,1.37,2021-07-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,1.38,2021-08-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,1.83456,2022-04-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,2.28,2021-12-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,2.74,2021-04-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,2.75,2021-10-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,2.76,2021-11-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,2.87,2021-01-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,3.41208,2022-05-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,5.02866,2022-08-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,5.46,2021-03-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,6.13704,2022-01-01 00:00:00
Belgium,1595416,FRISK 2H CLEAN BREATH TIN BOX PEPPMNT BE,6.70488,2022-06-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,0,2021-05-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,0,2021-06-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,0,2021-07-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,0,2021-09-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,0,2022-03-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,0,2022-04-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,1.58,2021-04-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,1.71,2021-12-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,1.82448,2022-07-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,1.91856,2022-09-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,1.95216,2022-01-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,2.04,2021-11-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,2.24448,2022-05-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,2.27,2021-01-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,2.82,2021-03-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,2.98704,2022-08-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,3.192,2022-02-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,4.05,2021-10-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,4.21512,2022-06-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,4.52,2021-02-01 00:00:00
Belgium,1639016,Frisk XL 150p Btl Pmint 8x2 BE,4.54,2021-08-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2021-01-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2021-03-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2021-04-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2021-05-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2021-07-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2021-09-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2021-10-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2021-11-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2022-02-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2022-04-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2022-05-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,0,2022-09-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,1.84296,2022-01-01 00:00:00
Belgium,1639116,Frisk Clean Breath 150p Btl Pmint 8x2 BE,1.89,2021-06-01 00:00:00
